row,column,cor,p
Otu000662,Otu000926,1,0
Otu000716,Otu000926,1,0
Otu000820,Otu000926,1,0
Otu000857,Otu000926,1,0
Otu000294,Otu000927,1,0
Otu000202,Otu000928,1,0
Otu000590,Otu000928,1,0
Otu000592,Otu000928,1,0
Otu000682,Otu000928,1,0
Otu000538,Otu000950,1,0
Otu000686,Otu000950,1,0
Otu000844,Otu000950,1,0
Otu000918,Otu000950,1,0
Otu000586,Otu000953,1,0
Otu000600,Otu000953,1,0
Otu000620,Otu000953,1,0
Otu000675,Otu000953,1,0
Otu000711,Otu000953,1,0
Otu000772,Otu000953,1,0
Otu000775,Otu000953,1,0
Otu000840,Otu000953,1,0
Otu000162,Otu000955,1,0
Otu000391,Otu000955,1,0
Otu000842,Otu000955,1,0
Otu000234,Otu000964,1,0
Otu000371,Otu000970,1,0
Otu000593,Otu000970,1,0
Otu000619,Otu000977,1,0
Otu000376,Otu000994,1,0
Otu000452,Otu000994,1,0
Otu000472,Otu000994,1,0
Otu000503,Otu000994,1,0
Otu000546,Otu000994,1,0
Otu000564,Otu000994,1,0
Otu000573,Otu000994,1,0
Otu000652,Otu000994,1,0
Otu000747,Otu000994,1,0
Otu000808,Otu000994,1,0
Otu000274,Otu000995,1,0
Otu000404,Otu000995,1,0
Otu000448,Otu000995,1,0
Otu000463,Otu000995,1,0
Otu000549,Otu000995,1,0
Otu000630,Otu000995,1,0
Otu000662,Otu000995,1,0
Otu000716,Otu000995,1,0
Otu000820,Otu000995,1,0
Otu000857,Otu000995,1,0
Otu000926,Otu000995,1,0
Otu000269,Otu001016,1,0
Otu000492,Otu001018,1,0
Otu000832,Otu001018,1,0
Otu000586,Otu001074,1,0
Otu000600,Otu001074,1,0
Otu000620,Otu001074,1,0
Otu000675,Otu001074,1,0
Otu000711,Otu001074,1,0
Otu000772,Otu001074,1,0
Otu000775,Otu001074,1,0
Otu000840,Otu001074,1,0
Otu000953,Otu001074,1,0
Otu000538,Otu001088,1,0
Otu000686,Otu001088,1,0
Otu000844,Otu001088,1,0
Otu000918,Otu001088,1,0
Otu000950,Otu001088,1,0
Otu000784,Otu001098,1,0
Otu000586,Otu001103,1,0
Otu000600,Otu001103,1,0
Otu000620,Otu001103,1,0
Otu000675,Otu001103,1,0
Otu000711,Otu001103,1,0
Otu000772,Otu001103,1,0
Otu000775,Otu001103,1,0
Otu000840,Otu001103,1,0
Otu000953,Otu001103,1,0
Otu001074,Otu001103,1,0
Otu000090,Otu001106,1,0
Otu000127,Otu001106,1,0
Otu000217,Otu001106,1,0
Otu000572,Otu001106,1,0
Otu000316,Otu001107,1,0
Otu000525,Otu001107,1,0
Otu000547,Otu001107,1,0
Otu000599,Otu001107,1,0
Otu000663,Otu001107,1,0
Otu000752,Otu001107,1,0
Otu000895,Otu001107,1,0
Otu000586,Otu001132,1,0
Otu000600,Otu001132,1,0
Otu000620,Otu001132,1,0
Otu000675,Otu001132,1,0
Otu000711,Otu001132,1,0
Otu000772,Otu001132,1,0
Otu000775,Otu001132,1,0
Otu000840,Otu001132,1,0
Otu000953,Otu001132,1,0
Otu001074,Otu001132,1,0
Otu001103,Otu001132,1,0
Otu000445,Otu001135,1,0
Otu000481,Otu001135,1,0
Otu000574,Otu001135,1,0
Otu000538,Otu001177,1,0
Otu000686,Otu001177,1,0
